1, C01, T10, 2
2, C01, T11, 4
3, C02, T06, 3
4, C02, T06, 3
5, C03, T11, 1
6, C03, T11, 1
7, C04, T02, 2
8, C05, T03, 1
9, C05, T03, 1
10, C05, T03, 1
11, C06, T02, 4
12, C06, T02, 4
13, C07, T04, 1
14, C08, T04, 2
15, C08, T04, 2
16, C08, T04, 2
17, C08, T11, 3
18, C09, T09, 4
19, C10, T05, 5
20, C10, T01, 5
21, C10, T01, 5
22, C11, T10, 8
23, C11, T10, 8
24, C11, T10, 8
25, C11, T05, 6
26, C12, T07, 1
27, C12, T07, 1
28, C13, T07, 2
29, C13, T07, 2
30, C14, T08, 1
31, C14, T08, 1
32, C15, T08, 2
33, C15, T08, 2
34, C16, T08, 3
35, C16, T08, 3
36, C17, T09, 2
37, C17, T09, 2
38, C18, T09, 1
39, C18, T09, 1
40, C19, T06, 5
41, C19, T06, 5
42, C20, T10, 6
43, C20, T10, 6
44, n/a, T07, n/a
45, n/a, T07, n/a
46, n/a, T09, n/a
47, n/a, T11, n/a
48, n/a, T11, n/a
49, n/a, T12, n/a
50, n/a, T12, n/a
51, n/a, T12, n/a
52, n/a, T12, n/a
53, n/a, T12, n/a
54, n/a, T12, n/a

count_assign: 43
sum_priority: 132
time(ms): 8
